item(worker,s0,msg(autoStartSysMsg,dispatch,worker,worker,start,5)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,634)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,637)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,640)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,643)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,646)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,649)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,652)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,655)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,658)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,661)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,664)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,667)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,670)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,673)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,676)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,679)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,682)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,685)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,688)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,691)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,694)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,697)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,700)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,703)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,706)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,709)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,712)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,715)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,718)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,721)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,724)).
item(worker,startTheWork,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,727)).
item(worker,changeTurn,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,730)).
item(worker,sleeping,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,733)).
